10 10
12274 90 34
11868 43 69
6552 18 91
232 29 2
16461 44 93
1024 8 32
7360 46 40
16932 83 51
3660 61 15
10912 62 44
648 9 18
2552 29 22
28324 73 97
8932 29 77
13780 53 65
5712 21 68
19404 63 77
29665 87 85
5700 25 57
14820 95 39
14280 42 85
3596 29 31
4080 51 20
4624 34 34
5928 78 19
10296 39 66
900 15 15
2280 57 10
27600 75 92
7275 24 75
25080 95 66
1476 10 36
21960 90 61
8424 39 54
1420 5 71
3180 15 53
5440 34 40
14476 47 77
10292 83 31
1280 16 20
29920 85 88
544 4 32
17280 96 45
16864 62 68
30400 76 100
2128 76 7
6864 52 33
26996 99 68
30100 75 100
29640 78 95
19872 92 54
15504 51 76
19224 54 89
648 27 6
3024 36 21
108 9 3
6240 65 24
31488 96 82
30400 95 80
26128 92 71
27740 73 95
2320 58 10
23572 71 83
2040 34 15
29440 80 92
1656 6 69
8083 34 59
8352 72 29
8000 25 80
12141 53 57
1976 13 38
35328 92 96
6360 30 53
16005 41 97
2320 29 20
14784 66 56
13568 53 64
24507 97 63
11700 45 65
21888 96 57
22512 67 84
2044 73 7
3060 21 36
12000 50 60
11808 72 41
1232 28 11
23560 95 62
1974 82 6
3528 21 42
32980 85 97
388 97 1
1848 42 11
6768 36 47
2324 7 83
3784 43 22
7911 73 27
288 24 3
7224 21 86
15620 55 71
8208 57 36
3 4 Open
